problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore
Problem 4,E,B29,193,6,1,0,0,6,0,0,1,0
Problem 5,E,B29,50,1,1,0,0,1,0,0,1,0
Problem 1,B,B30,116,6,2,3,0,4,1,1,1,0
Problem 2,E,B30,208,6,2,0,0,2,3,1,1,0
Problem 3,E,B30,2,0,0,0,0,0,0,0,1,0
Problem 4,E,B30,15,1,1,0,0,1,0,0,1,0
Problem 5,E,B30,3,0,0,0,0,0,0,0,1,0
Problem 1,E,B31,24,2,1,0,0,1,1,0,1,0
Problem 2,E,B31,25,2,1,0,0,1,1,0,1,0
Problem 3,C,B31,39,4,1,3,1,4,0,0,1,0
Problem 4,B,B31,73,7,1,5,0,6,1,0,1,0
Problem 5,B,B31,54,6,1,4,0,5,1,0,0,0
Problem 1,E,B32,33,2,1,0,0,0,2,0,1,0
Problem 2,E,B32,166,9,1,0,0,1,7,1,0,0
Problem 3,B,B32,98,4,3,3,0,4,0,0,1,0
Problem 4,B,B32,168,8,1,5,0,7,1,0,1,0
Problem 5,E,B32,95,1,1,0,0,1,0,0,1,0
Problem 1,E,B33,39,1,1,0,0,0,1,0,1,0
Problem 2,E,B33,51,4,1,0,0,1,1,2,0,0
Problem 3,B,B33,54,5,1,2,0,4,0,1,0,0
Problem 4,B,B33,152,7,10,5,0,6,0,1,1,0
Problem 5,E,B33,17,1,1,0,0,1,0,0,1,0
Problem 1,E,B34,56,4,1,0,0,2,2,0,1,0
Problem 2,E,B34,41,4,1,0,0,1,2,1,0,0
Problem 3,B,B34,61,4,1,3,0,4,0,0,1,0
Problem 4,B,B34,97,6,7,5,0,6,0,0,1,0
Problem 5,E,B34,13,1,1,0,0,1,0,0,1,0
Problem 1,B,B35,179,3,1,1,0,2,1,0,1,0
Problem 2,E,B35,57,2,1,0,0,1,0,1,0,0
Problem 3,B,B35,322,7,1,2,0,2,3,2,1,0
Problem 4,C,B35,159,15,2,7,1,9,3,3,1,0
Problem 5,B,B35,87,6,1,5,0,6,0,0,1,0
Problem 1,E,B36,16,1,1,0,0,0,1,0,1,0
Problem 2,E,B36,21,1,1,0,0,0,1,0,0,0
Problem 3,B,B36,136,7,1,3,0,7,0,0,0,0
Problem 4,B,B36,59,4,1,3,0,4,0,0,0,0
Problem 5,C,B36,48,7,2,3,1,7,0,0,0,0
Problem 1,E,B37,68,11,1,0,0,2,7,2,1,0
Problem 2,E,B37,84,2,1,0,0,1,0,1,0,0
Problem 3,E,B37,28,1,1,0,0,1,0,0,0,0
Problem 4,E,B37,51,1,1,0,0,1,0,0,0,0
Problem 5,E,B37,48,1,1,0,0,1,0,0,0,0
Problem 1,E,B39,162,3,1,0,0,1,2,0,1,0
Problem 2,E,B39,75,5,1,0,0,0,4,1,0,0
Problem 3,E,B39,13,1,1,0,0,0,1,0,0,0
Problem 4,E,B39,284,6,1,0,0,4,1,1,0,0
Problem 5,E,B39,37,1,1,0,0,1,0,0,1,0
Problem 1,E,B40,38,2,1,0,0,1,0,1,1,0
Problem 2,E,B40,58,3,1,0,0,1,2,0,1,0
Problem 3,E,B40,13,2,1,0,1,1,0,1,1,0
Problem 4,B,B40,203,14,1,8,0,12,1,1,1,0
Problem 5,E,B40,22,1,2,0,0,1,0,0,1,0
Problem 1,E,B41,21,4,1,0,0,3,0,1,1,0
Problem 2,E,B41,53,2,1,0,0,1,0,1,1,0
Problem 3,B,B41,93,5,2,3,0,4,0,1,0,0
Problem 4,E,B41,150,22,2,0,0,9,11,2,1,0
Problem 5,D,B41,62,7,4,3,1,5,1,1,1,6
Problem 1,E,B42,49,3,1,0,0,0,2,1,1,0
Problem 2,E,B42,40,3,1,0,0,1,2,0,1,0
Problem 3,E,B42,48,1,1,0,0,1,0,0,1,0
Problem 4,C,B42,159,5,3,0,1,2,0,3,1,0
Problem 5,C,B42,30,2,2,0,1,1,1,0,1,0
Problem 1,E,B43,27,3,1,0,0,1,1,1,1,0
Problem 2,E,B43,49,4,1,0,0,1,3,0,1,0
Problem 3,E,B43,33,1,1,0,0,1,0,0,1,0
Problem 4,E,B43,153,5,4,0,0,4,1,0,1,0
Problem 5,E,B43,44,4,1,0,0,4,0,0,0,0
Problem 1,E,B44,37,4,1,0,0,1,2,1,1,0
Problem 2,E,B44,25,2,1,0,0,1,0,1,1,0
Problem 3,E,B44,36,6,1,0,0,5,0,1,0,0
Problem 4,E,B44,96,8,1,0,0,6,1,1,0,0
Problem 5,E,B44,67,7,1,0,0,5,0,2,0,0
Problem 1,B,B45,294,9,1,2,0,3,4,2,1,0
Problem 2,E,B45,149,5,1,0,0,2,1,2,0,0
Problem 3,E,B45,623,4,1,0,0,1,2,1,1,0
Problem 4,E,B45,28,4,1,0,0,3,1,0,0,0
Problem 5,E,B45,17,1,1,0,0,1,0,0,1,0
Problem 1,E,B46,66,2,1,0,0,0,2,0,1,0
Problem 2,E,B46,61,5,1,0,0,1,2,2,1,0
Problem 3,E,B46,51,5,1,0,0,4,1,0,1,0
Problem 4,E,B46,159,2,1,0,0,1,0,1,1,0
Problem 5,E,B46,82,7,1,0,0,4,0,3,1,0
Problem 1,E,B48,155,7,1,0,0,3,3,1,1,0
Problem 2,E,B48,351,7,1,0,0,2,4,1,1,0
Problem 3,C,B48,159,13,3,0,1,8,4,1,1,0
Problem 4,E,B48,83,5,1,0,0,5,0,0,0,0
Problem 5,E,B48,90,5,3,0,0,5,0,0,0,0
Problem 1,E,B49,43,4,1,0,0,1,2,1,1,0
Problem 2,E,B49,40,2,1,0,0,1,1,0,0,0
Problem 3,B,B49,25,2,1,1,0,2,0,0,1,0
Problem 4,C,B49,47,7,1,6,1,7,0,0,0,0
Problem 5,B,B49,40,6,1,5,0,6,0,0,0,0
